Gemeinde,Region
Aadorf,2
Aarau,2
Aarberg,2
Aarburg,2
Aarwangen,3
Abtwil,3
Aclens,2
Acquarossa,3
Adelboden,2
Adligenswil,2
Adlikon,3
Adliswil,2
Aedermannsdorf,3
Aefligen,2
Aegerten,2
Aesch (BL),2
Aesch (LU),3
Aesch (ZH),3
Aeschi (SO),3
Aeschi bei Spiez,3
Aeugst am Albis,3
Affeltrangen,3
Affoltern am Albis,2
Affoltern im Emmental,3
Agarn,3
Agiez,3
Agno,2
Aigle,2
Aire-la-Ville,2
Airolo,3
Alberswil,3
Albinen,3
Albula/Alvra,3
Alchenstorf,3
Allaman,2
Alle,3
Allmendingen,3
Allschwil,2
Alpnach,3
Alpthal,3
Altbüron,3
Altdorf (UR),2
Altendorf,2
Alterswil,3
Altikon,3
Altishofen,2
Altnau,3
Alto Malcantone,3
Altstätten,2
Altwis,3
Amden,3
Amlikon-Bissegg,3
Ammerswil,3
Amriswil,2
Amsoldingen,3
Andeer,3
Andelfingen,2
Andermatt,3
Andwil (SG),2
Anières,2
Anniviers,3
Anwil,3
Appenzell,2
Apples,3
Aranno,3
Arbaz,2
Arbedo-Castione,2
Arboldswil,3
Arbon,2
Arch,2
Arconciel,2
Ardon,2
Arisdorf,2
Aristau,3
Arlesheim,2
Arnex-sur-Nyon,3
Arnex-sur-Orbe,3
Arni (AG),2
Arni (BE),3
Arogno,3
Arosa,2
Arth,2
Arzier-Le Muids,2
Ascona,2
Assens,3
Astano,3
Attalens,2
Attinghausen,2
Attiswil,3
Au (SG),2
Aubonne,2
Auboranges,3
Auenstein,2
Augst,2
Ausserberg,3
Auswil,3
Autigny,3
Auw,3
Avegno Gordevio,3
Avenches,3
Avers,3
Avry,2
Avully,3
Avusy,3
Ayent,2
Baar,2
Bachenbülach,2
Bachs,3
Bad Ragaz,2
Bad Zurzach,2
Baden,2
Bagnes,2
Baldingen,3
Balerna,2
Balgach,2
Ballaigues,3
Ballens,3
Ballwil,2
Balm bei Günsberg,3
Balsthal,3
Baltschieder,2
Bannwil,3
Bardonnex,2
Bäretswil,2
Bargen (BE),2
Bargen (SH),3
Bäriswil,2
Bärschwil,3
Basadingen-Schlattingen,3
Basel,1
Bas-Intyamon,3
Basse-Allaine,3
Bassersdorf,2
Bassins,2
Bätterkinden,2
Bättwil,2
Bauen,3
Baulmes,3
Bauma,3
Bavois,3
Beatenberg,3
Beckenried,3
Bedano,2
Bedigliora,2
Bedretto,3
Beggingen,3
Begnins,2
Beinwil (Freiamt),3
Beinwil (SO),3
Beinwil am See,2
Belfaux,2
Bellach,2
Bellevue,2
Bellikon,2
Bellinzona,2
Bellmund,2
Bellwald,3
Belmont-Broye,3
Belmont-sur-Lausanne,2
Belmont-sur-Yverdon,3
Belp,2
Belprahon,3
Benken (SG),3
Benken (ZH),3
Bennwil,3
Bercher,3
Berg (SG),2
Berg (TG),3
Berg am Irchel,2
Bergdietikon,2
Bergün Filisur,3
Berikon,2
Beringen,2
Berken,3
Berlingen,3
Bern,1
Berneck,2
Bernex,2
Berolle,3
Beromünster,2
Besenbüren,3
Bettenhausen,3
Bettens,3
Bettingen,2
Bettlach,2
Bettmeralp,3
Bettwiesen,3
Bettwil,3
Beurnevésin,3
Bever,3
Bex,2
Biasca,2
Biberist,2
Biberstein,2
Bichelsee-Balterswil,2
Biel/Bienne,2
Biel-Benken,2
Bière,3
Biezwil,3
Biglen,2
Billens-Hennens,3
Binn,3
Binningen,2
Bioggio,2
Bioley-Magnoux,3
Bioley-Orjulaz,3
Birmensdorf (ZH),2
Birmenstorf (AG),2
Birr,2
Birrhard,3
Birrwil,3
Birsfelden,2
Birwinken,3
Bischofszell,2
Bissone,3
Bister,3
Bitsch,2
Blatten,3
Blauen,3
Bleienbach,3
Blenio,3
Blonay,2
Blumenstein,2
Böbikon,3
Böckten,2
Bodio,3
Boécourt,3
Bofflens,3
Bogis-Bossey,2
Bolken,3
Bolligen,2
Boltigen,3
Bonaduz,2
Boncourt,3
Bonfol,3
Bönigen,2
Boningen,3
Boniswil,3
Bonstetten,2
Bonvillars,3
Boppelsen,3
Borex,2
Bosco/Gurin,3
Bösingen,2
Bossonnens,2
Boswil,3
Bottens,3
Bottenwil,3
Botterens,3
Bottighofen,2
Bottmingen,2
Böttstein,2
Boudry,2
Bougy-Villars,3
Boulens,3
Bourg-en-Lavaux,2
Bourg-Saint-Pierre,3
Bournens,3
Bourrignon,3
Boussens,3
Bovernier,3
Bowil,3
Bözberg,3
Bözen,3
Braunau,3
Bregaglia,3
Breggia,3
Breil/Brigels,3
Breitenbach,2
Bremblens,3
Bremgarten (AG),2
Bremgarten bei Bern,2
Brenzikofen,3
Bretigny-sur-Morrens,2
Bretonnières,3
Bretzwil,3
Brienz (BE),2
Brienzwiler,3
Brig-Glis,2
Brione (Verzasca),3
Brione sopra Minusio,2
Brislach,2
Brissago,2
Brittnau,2
Broc,2
Brot-Plamboz,3
Brugg,2
Brügg,2
Brunegg,2
Brünisried,2
Brusino Arsizio,3
Brusio,3
Brüttelen,3
Brütten,2
Bubendorf,2
Bubikon,2
Buch (SH),3
Buch am Irchel,3
Buchberg,3
Buchegg,3
Buchholterberg,3
Buchillon,2
Buchrain,2
Buchs (AG),2
Buchs (SG),2
Buchs (ZH),2
Buckten,3
Büetigen,2
Bühl,3
Bühler,3
Bülach,2
Bulle,2
Bullet,3
Bünzen,2
Buochs,3
Bürchen,3
Bure,3
Büren (SO),3
Büren an der Aare,2
Burg (AG),2
Burg im Leimental,3
Burgdorf,2
Burgistein,3
Bürglen (TG),3
Bürglen (UR),2
Büron,3
Bursinel,3
Bursins,2
Burtigny,3
Buseno,3
Büsserach,2
Bussigny,2
Bussnang,3
Busswil bei Melchnau,3
Bussy-Chardonney,3
Bussy-sur-Moudon,3
Bütschwil-Ganterschwil,3
Büttenhardt,3
Büttikon,2
Buttisholz,3
Buttwil,3
Buus,3
Cademario,3
Cadempino,2
Cadenazzo,2
Calanca,3
Cama,3
Campo (Vallemaggia),3
Canobbio,2
Capriasca,2
Carouge (GE),2
Cartigny,3
Caslano,2
Castaneda,3
Castel San Pietro,2
Casti-Wergenstein,3
Cazis,2
Celerina/Schlarigna,3
Céligny,2
Centovalli,3
Cerentino,3
Cevio,3
Chalais,2
Cham,2
Chamblon,2
Chamoson,3
Champagne,3
Champéry,3
Champoz,3
Champtauroz,3
Champvent,3
Chancy,3
Chapelle (Glâne),3
Chardonne,2
Charrat,2
Château-d'Oex,2
Châtel-Saint-Denis,2
Châtel-sur-Montsalvens,3
Châtillon (FR),3
Châtillon (JU),3
Châtonnaye,3
Chavannes-de-Bogis,2
Chavannes-des-Bois,3
Chavannes-le-Chêne,3
Chavannes-le-Veyron,3
Chavannes-près-Renens,2
Chavannes-sur-Moudon,3
Chavornay,2
Cheiry,3
Chêne-Bougeries,2
Chêne-Bourg,2
Chénens,3
Chêne-Pâquier,3
Cheseaux-Noréaz,2
Cheseaux-sur-Lausanne,2
Chéserex,2
Chessel,3
Chevilly,3
Chevroux,3
Chexbres,2
Cheyres-Châbles,3
Chiasso,2
Chigny,2
Chippis,2
Choulex,2
Chur,2
Churwalden,3
Clarmont,3
Clavaleyres,3
Clos du Doubs,3
Coeuve,3
Coinsins,3
Coldrerio,2
Collex-Bossy,2
Collina d'Oro,2
Collombey-Muraz,2
Collonge-Bellerive,2
Collonges,3
Cologny,2
Comano,2
Commugny,2
Concise,3
Confignon,2
Conters im Prättigau,3
Conthey,2
Coppet,2
Corbeyrier,3
Corbières,3
Corcelles (BE),3
Corcelles-Cormondrèche,2
Corcelles-le-Jorat,3
Corcelles-près-Concise,3
Corcelles-près-Payerne,2
Corgémont,3
Corippo,3
Corminboeuf,2
Cormoret,3
Cornaux,2
Cornol,3
Corseaux,2
Corsier (GE),2
Corsier-sur-Vevey,2
Cortaillod,2
Cortébert,3
Cossonay,2
Cottens (FR),3
Cottens (VD),3
Courchapoix,3
Courchavon,3
Courgenay,3
Courgevaux,2
Courrendlin,2
Courroux,2
Court,3
Courtedoux,3
Courtelary,3
Courtepin,2
Courtételle,2
Crans-Montana,2
Crans-près-Céligny,2
Crassier,2
Crémines,3
Cressier (FR),3
Cressier (NE),2
Crésuz,3
Crissier,2
Croglio,2
Cronay,3
Croy,3
Cuarnens,3
Cuarny,3
Cudrefin,3
Cugnasco-Gerra,2
Cugy (FR),3
Cugy (VD),2
Cureglia,2
Curio,2
Curtilles,3
Dachsen,2
Dägerlen,3
Dagmersellen,3
Daillens,3
Dallenwil,3
Dällikon,2
Dalpe,3
Damphreux,3
Däniken,2
Dänikon,2
Dardagny,3
Därligen,3
Därstetten,3
Dättlikon,3
Davos,2
Degersheim,2
Deisswil bei Münchenbuchsee,2
Deitingen,2
Delémont,2
Delley-Portalban,3
Démoret,3
Denens,2
Denges,2
Densbüren,3
Derendingen,2
Develier,3
Diegten,3
Dielsdorf,2
Diemerswil,3
Diemtigen,3
Diepflingen,2
Diepoldsau,2
Dierikon,2
Diessbach bei Büren,3
Diessenhofen,3
Dietikon,2
Dietlikon,2
Dietwil,3
Dinhard,3
Dintikon,2
Disentis/Mustér,3
Dittingen,2
Dizy,3
Domat/Ems,2
Domleschg,3
Dompierre (VD),3
Donat,3
Donneloye,3
Doppleschwand,3
Dorénaz,3
Dorf,3
Dörflingen,3
Dornach,2
Dottikon,2
Döttingen,2
Dotzigen,2
Dozwil,3
Drei Höfe,3
Dübendorf,2
Düdingen,2
Duggingen,2
Duillier,3
Dulliken,2
Dully,3
Dürnten,2
Dürrenäsch,3
Dürrenroth,3
Ebikon,2
Ebnat-Kappel,2
Echallens,2
Echandens,2
Echarlens,2
Echichens,2
Eclépens,2
Ecublens (FR),3
Ecublens (VD),2
Ederswiler,3
Effingen,3
Egerkingen,3
Egg,2
Eggenwil,2
Eggerberg,2
Eggersriet,3
Eggiwil,3
Eglisau,2
Egliswil,3
Egnach,2
Egolzwil,3
Ehrendingen,2
Eich,3
Eichberg,3
Eiken,2
Einsiedeln,2
Eischoll,3
Eisten,3
Elfingen,3
Elgg,2
Ellikon an der Thur,3
Elsau,2
Embd,3
Embrach,2
Emmen,2
Emmetten,3
Endingen,2
Engelberg,2
Enges,3
Ennetbaden,2
Ennetbürgen,3
Ennetmoos,3
Entlebuch,3
Epalinges,2
Ependes (FR),3
Ependes (VD),3
Eppenberg-Wöschnau,2
Epsach,3
Eptingen,3
Ergisch,3
Eriswil,3
Eriz,3
Erlach,3
Erlen,3
Erlenbach (ZH),2
Erlenbach im Simmental,3
Erlinsbach (AG),2
Erlinsbach (SO),2
Ermatingen,3
Ermensee,3
Ernen,3
Erschwil,3
Ersigen,2
Erstfeld,2
Eschenbach (LU),2
Eschenbach (SG),2
Eschenz,2
Eschert,2
Eschlikon,2
Escholzmatt-Marbach,3
Essertes,3
Essertines-sur-Rolle,3
Essertines-sur-Yverdon,3
Estavayer,2
Etagnières,2
Etoy,2
Ettingen,2
Ettiswil,3
Etziken,3
Evilard,2
Evionnaz,3
Evolène,3
Eysins,2
Fahrni,3
Fahrwangen,3
Fahy,3
Faido,3
Falera,3
Fällanden,2
Faoug,3
Farnern,3
Féchy,3
Fehraltorf,2
Fehren,2
Felben-Wellhausen,2
Feldbrunnen-St. Niklaus,2
Felsberg,2
Ferden,3
Ferenbalm,3
Ferpicloz,2
Ferrera,3
Ferreyres,3
Fétigny,3
Feuerthalen,2
Feusisberg,2
Fey,3
Fideris,3
Fiesch,3
Fieschertal,3
Fiez,3
Finhaut,3
Finsterhennen,3
Fischbach,3
Fischbach-Göslikon,2
Fischenthal,3
Fischingen,3
Fisibach,2
Fislisbach,2
Flaach,2
Fläsch,3
Flawil,2
Flerden,3
Flims,2
Flüelen,2
Flühli,3
Flumenthal,3
Flums,2
Flurlingen,2
Fontaines-sur-Grandson,3
Fontenais,2
Forel (Lavaux),3
Forst-Längenbühl,2
Founex,2
Fräschels,3
Frasco,3
Fraubrunnen,2
Frauenfeld,2
Frauenkappelen,3
Freienbach,2
Freienstein-Teufen,2
Freienwil,3
Freimettigen,2
Frenkendorf,2
Fribourg,2
Frick,2
Froideville,2
Frutigen,2
Fulenbach,3
Füllinsdorf,2
Full-Reuenthal,3
Fully,2
Furna,3
Fürstenau,3
Gächlingen,3
Gachnang,2
Gais,3
Gaiserwald,2
Galgenen,2
Galmiz,3
Gals,2
Gambarogno,3
Gampel-Bratsch,2
Gampelen,3
Gams,2
Gänsbrunnen,3
Gansingen,3
Gebenstorf,2
Gelterkinden,2
Geltwil,3
Gempen,3
Gempenach,3
Genève,1
Genolier,2
Genthod,2
Gerlafingen,2
Geroldswil,2
Gersau,3
Gerzensee,3
Gettnau,3
Geuensee,3
Gibloux,3
Giebenach,3
Giez,3
Giffers,2
Gilly,2
Gimel,2
Gingins,2
Giornico,3
Gipf-Oberfrick,2
Gisikon,2
Giswil,3
Givisiez,2
Givrins,2
Gland,2
Glarus,2
Glarus Nord,2
Glarus Süd,3
Glattfelden,2
Gletterens,3
Goldach,2
Gollion,3
Gommiswald,3
Goms,3
Gondiswil,3
Gonten,3
Gontenschwil,3
Gordola,2
Göschenen,3
Gossau (SG),2
Gossau (ZH),2
Gottlieben,2
Goumoëns,3
Graben,3
Grabs,2
Grächen,3
Grancia,2
Grancy,3
Grandcour,3
Grandevent,3
Grandfontaine,3
Grandson,2
Grandval,3
Grandvillard,3
Granges (Veveyse),3
Granges-Paccot,2
Grangettes,3
Gränichen,2
Gravesano,2
Greifensee,2
Grellingen,2
Grenchen,2
Greng,3
Grengiols,3
Grens,2
Greppen,3
Gretzenbach,2
Grimisuat,2
Grindel,3
Grindelwald,2
Grolley,2
Grône,2
Grono,3
Grossaffoltern,3
Grossdietwil,3
Grosshöchstetten,2
Grosswangen,3
Grub (AR),2
Grüningen,2
Grüsch,3
Gruyères,2
Gryon,3
Gsteig,3
Gsteigwiler,3
Guggisberg,3
Gündlischwand,3
Günsberg,3
Gunzgen,3
Gurbrü,3
Gurmels,2
Gurtnellen,3
Gurzelen,2
Guttannen,3
Guttet-Feschel,3
Güttingen,3
Gy,2
Habkern,3
Habsburg,3
Häfelfingen,3
Hagenbuch,3
Hägendorf,2
Häggenschwil,3
Hägglingen,2
Hagneck,2
Haldenstein,2
Hallau,3
Hallwil,3
Halten,2
Härkingen,3
Hasle (LU),3
Hasle bei Burgdorf,3
Hasliberg,3
Hauenstein-Ifenthal,3
Hauptwil-Gottshaus,3
Hausen (AG),2
Hausen am Albis,2
Haute-Ajoie,3
Hauterive (FR),2
Hauterive (NE),2
Haute-Sorne,3
Hauteville,3
Haut-Intyamon,3
Häutligen,3
Hedingen,2
Hefenhofen,2
Heiden,2
Heiligenschwendi,3
Heimberg,2
Heimenhausen,3
Heimiswil,3
Heitenried,3
Hellikon,2
Hellsau,3
Hemberg,3
Hemishofen,3
Hemmiken,3
Hendschiken,2
Henggart,2
Henniez,3
Herbetswil,3
Herbligen,3
Herdern,3
Hérémence,3
Hergiswil (NW),2
Hergiswil bei Willisau,3
Herisau,2
Hermance,2
Hermenches,3
Hermrigen,3
Herrliberg,2
Hersberg,3
Herznach,2
Herzogenbuchsee,2
Hettlingen,2
Hildisrieden,2
Hilterfingen,2
Himmelried,3
Hindelbank,2
Hinwil,2
Hirschthal,2
Hittnau,2
Hitzkirch,2
Hochdorf,2
Hochfelden,2
Höchstetten,3
Hochwald,3
Hofstetten bei Brienz,3
Hofstetten-Flüh,2
Hohenrain,3
Hohentannen,3
Holderbank (AG),2
Holderbank (SO),3
Hölstein,2
Holziken,2
Homberg,3
Hombrechtikon,2
Homburg,3
Honau,2
Horgen,2
Höri,2
Horn,2
Hornussen,3
Horrenbach-Buchen,3
Horriwil,2
Horw,2
Hospental,3
Hubersdorf,2
Humlikon,3
Hundwil,3
Hünenberg,2
Hüniken,3
Hüntwangen,3
Hunzenschwil,2
Hüttikon,2
Hüttlingen,3
Huttwil,2
Hüttwilen,3
Icogne,2
Iffwil,3
Ilanz/Glion,2
Illgau,3
Illnau-Effretikon,2
Inden,3
Ingenbohl,3
Inkwil,3
Innerthal,3
Innertkirchen,3
Ins,2
Interlaken,2
Inwil,2
Ipsach,2
Iseltwald,3
Isenthal,3
Isérables,3
Islisberg,3
Isone,3
Itingen,2
Ittigen,2
Jaberg,2
Jaun,3
Jegenstorf,2
Jenaz,3
Jenins,3
Jens,2
Jonen,2
Jongny,2
Jonschwil,2
Jorat-Menthue,3
Jorat-Mézières,2
Jouxtens-Mézery,2
Juriens,3
Jussy,3
Kaiseraugst,2
Kaiserstuhl,2
Kaisten,3
Kallern,3
Kallnach,3
Kaltbrunn,3
Kammersrohr,3
Kandergrund,3
Kandersteg,3
Känerkinden,3
Kappel (SO),2
Kappel am Albis,3
Kappelen,2
Kaufdorf,2
Kehrsatz,2
Kemmental,3
Kernenried,3
Kerns,3
Kerzers,3
Kesswil,3
Kestenholz,3
Kienberg,3
Kiesen,2
Kilchberg (BL),3
Kilchberg (ZH),2
Killwangen,2
Kippel,3
Kirchberg (BE),2
Kirchberg (SG),2
Kirchdorf (BE),3
Kirchleerau,3
Kirchlindach,2
Kleinandelfingen,2
Kleinbösingen,2
Kleinlützel,3
Klingnau,2
Klosters-Serneus,2
Kloten,2
Knonau,2
Knutwil,3
Koblenz,3
Kölliken,2
Köniz,2
Konolfingen,2
Koppigen,3
Kradolf-Schönenberg,3
Krattigen,2
Krauchthal,3
Kreuzlingen,2
Kriechenwil,3
Kriegstetten,2
Kriens,2
Küblis,3
Künten,3
Küsnacht (ZH),2
Küssnacht (SZ),2
Küttigen,2
La Baroche,3
La Brévine,3
La Brillaz,3
La Chaux (Cossonay),3
La Chaux-de-Fonds,2
La Chaux-des-Breuleux,3
La Chaux-du-Milieu,3
La Côte-aux-Fées,3
La Ferrière,3
La Grande Béroche,3
La Neuveville,2
La Praz,3
La Punt-Chamues-ch,3
La Rippe,3
La Roche,3
La Sagne,3
La Sarraz,2
La Sonnaz,2
La Tène,2
La Tour-de-Peilz,2
La Verrerie,3
Laax,3
L'Abbaye,3
L'Abergement,3
Lachen,2
Laconnex,3
Lajoux (JU),3
Lalden,2
Lamone,2
Lampenberg,2
Lancy,2
Landiswil,3
Landquart,2
Langenbruck,3
Langendorf,2
Langenthal,2
Langnau am Albis,2
Langnau im Emmental,2
Langrickenbach,3
Lantsch/Lenz,3
Lauenen,3
Lauerz,3
Läufelfingen,3
Laufen,2
Laufenburg,3
Laufen-Uhwiesen,2
Laupen,2
Laupersdorf,3
Lauperswil,3
Lausanne,1
Lausen,2
Lauterbrunnen,3
Lauwil,3
Lavertezzo,2
Lavey-Morcles,2
Lavigny,2
Lavizzara,3
Lax,3
Le Bémont (JU),3
Le Cerneux-Péquignot,3
Le Châtelard,3
Le Chenit,2
Le Flon,3
Le Grand-Saconnex,2
Le Landeron,2
Le Lieu,3
Le Locle,2
Le Mont-sur-Lausanne,2
Le Mouret,2
Le Noirmont,3
Le Pâquier (FR),3
Le Vaud,2
Leibstadt,3
Leimbach (AG),3
Leissigen,3
Lengnau (AG),2
Lengnau (BE),2
Lengwil,3
Lenk,3
Lens,3
Lenzburg,2
Les Bois,3
Les Brenets,2
Les Breuleux,3
Les Clées,3
Les Enfers,3
Les Genevez (JU),3
Les Montets,3
Les Planchettes,3
Les Ponts-de-Martel,3
Les Verrières,3
Leuggern,3
Leuk,2
Leukerbad,2
Leutwil,3
Leuzigen,3
Leysin,2
Leytron,3
Lichtensteig,2
Liddes,3
Liedertswil,3
Liesberg,3
Liestal,2
Ligerz,3
Lignerolle,3
Lignières,3
Lindau,2
Linden,3
